ticker,nome,tipo,peso_pct,data_vigencia,arquivo_fonte
ABEV3,AMBEV S/A,ON  EJ,6.8749,2017-12-27,Carteira IBOV/2018/ViradaFinal1Q18.xlsx
BBAS3,BRASIL,ON      NM,3.1124,2017-12-27,Carteira IBOV/2018/ViradaFinal1Q18.xlsx
BBDC3,BRADESCO,ON  EJ  N1,1.4269,2017-12-27,Carteira IBOV/2018/ViradaFinal1Q18.xlsx
BBDC4,BRADESCO,PN  EJ  N1,7.7548,2017-12-27,Carteira IBOV/2018/ViradaFinal1Q18.xlsx
BBSE3,BBSEGURIDADE,ON      NM,1.5103,2017-12-27,Carteira IBOV/2018/ViradaFinal1Q18.xlsx
BRAP4,BRADESPAR,PN  EJ  N1,0.5029,2017-12-27,Carteira IBOV/2018/ViradaFinal1Q18.xlsx
BRFS3,BRF SA,ON      NM,2.2592,2017-12-27,Carteira IBOV/2018/ViradaFinal1Q18.xlsx
BRKM5,BRASKEM,PNA     N1,0.9162,2017-12-27,Carteira IBOV/2018/ViradaFinal1Q18.xlsx
BRML3,BR MALLS PAR,ON      NM,0.8312,2017-12-27,Carteira IBOV/2018/ViradaFinal1Q18.xlsx
BVMF3,B3,ON  EJ  NM,3.6565,2017-12-27,Carteira IBOV/2018/ViradaFinal1Q18.xlsx
CCRO3,CCR SA,ON      NM,1.4269,2017-12-27,Carteira IBOV/2018/ViradaFinal1Q18.xlsx
CIEL3,CIELO,ON  EJ  NM,2.075,2017-12-27,Carteira IBOV/2018/ViradaFinal1Q18.xlsx
CMIG4,CEMIG,PN      N1,0.519,2017-12-27,Carteira IBOV/2018/ViradaFinal1Q18.xlsx
CPFE3,CPFL ENERGIA,ON      NM,0.0817,2017-12-27,Carteira IBOV/2018/ViradaFinal1Q18.xlsx
CPLE6,COPEL,PNB     N1,0.1965,2017-12-27,Carteira IBOV/2018/ViradaFinal1Q18.xlsx
CSAN3,COSAN,ON      NM,0.5016,2017-12-27,Carteira IBOV/2018/ViradaFinal1Q18.xlsx
CSNA3,SID NACIONAL,ON,0.3978,2017-12-27,Carteira IBOV/2018/ViradaFinal1Q18.xlsx
CYRE3,CYRELA REALT,ON      NM,0.2551,2017-12-27,Carteira IBOV/2018/ViradaFinal1Q18.xlsx
ECOR3,ECORODOVIAS,ON      NM,0.1802,2017-12-27,Carteira IBOV/2018/ViradaFinal1Q18.xlsx
EGIE3,ENGIE BRASIL,ON      NM,0.577,2017-12-27,Carteira IBOV/2018/ViradaFinal1Q18.xlsx
ELET3,ELETROBRAS,ON      N1,0.3927,2017-12-27,Carteira IBOV/2018/ViradaFinal1Q18.xlsx
ELET6,ELETROBRAS,PNB     N1,0.3885,2017-12-27,Carteira IBOV/2018/ViradaFinal1Q18.xlsx
EMBR3,EMBRAER,ON  EJ  NM,1.1788,2017-12-27,Carteira IBOV/2018/ViradaFinal1Q18.xlsx
